cod_ibge;municipio;populacao_2000;populacao_2010;populacao_2020;populacao_2030;populacao_2040;populacao_2050;tx_crescimentopop_2000/2010;tx_crescimentopop_2010/2020;tx_crescimentopop_2020/2030;tx_crescimentopop_2030/2040;tx_crescimentopop_2040/2050
3545407;Salto Grande;8.437;8.784;9.095;9.362;9.527;9.536;0,4;0,35;0,29;0,17;0,01
3545506;Sandovalina;3.082;3.693;4.211;4.628;4.856;4.931;1,83;1,32;0,95;0,48;0,15
3545605;Santa Adélia;13.441;14.325;14.892;15.161;15.003;14.442;0,64;0,39;0,18;-0,1;-0,38
3545704;Santa Albertina;5.589;5.722;5.672;5.502;5.178;4.742;0,24;-0,09;-0,3;-0,61;-0,88
3545803;Santa Bárbara d'Oeste;169.818;179.924;188.745;193.153;191.125;183.386;0,58;0,48;0,23;-0,11;-0,41
3546009;Santa Branca;12.982;13.757;14.179;14.438;14.366;13.882;0,58;0,3;0,18;-0,05;-0,34
3546108;Santa Clara d'Oeste;2.126;2.084;2.006;1.925;1.827;1.706;-0,2;-0,38;-0,41;-0,52;-0,68
3546207;Santa Cruz da Conceição;3.525;3.998;4.349;4.525;4.488;4.312;1,27;0,85;0,4;-0,08;-0,4
3546256;Santa Cruz da Esperança;1.795;1.952;2.077;2.160;2.194;2.179;0,84;0,62;0,39;0,16;-0,07
3546306;Santa Cruz das Palmeiras;25.517;29.893;33.729;36.375;37.609;37.687;1,6;1,21;0,76;0,33;0,02
3546405;Santa Cruz do Rio Pardo;40.876;43.895;46.110;47.578;47.941;47.163;0,72;0,49;0,31;0,08;-0,16
3546504;Santa Ernestina;5.739;5.569;5.525;5.523;5.458;5.225;-0,3;-0,08;0;-0,12;-0,44
3546603;Santa Fé do Sul;26.478;29.215;30.804;31.387;30.769;29.243;0,99;0,53;0,19;-0,2;-0,51
3546702;Santa Gertrudes;15.845;21.579;26.189;29.882;32.143;33.005;3,14;1,96;1,33;0,73;0,26
3546801;Santa Isabel;43.682;50.393;55.086;58.191;59.742;59.875;1,44;0,89;0,55;0,26;0,02
3546900;Santa Lúcia;7.837;8.245;8.562;8.828;8.981;8.935;0,51;0,38;0,31;0,17;-0,05
3547007;Santa Maria da Serra;4.669;5.406;6.141;6.790;7.267;7.563;1,48;1,28;1,01;0,68;0,4
3547106;Santa Mercedes;2.805;2.831;2.813;2.832;2.827;2.743;0,09;-0,06;0,07;-0,02;-0,3
3547205;Santana da Ponte Pensa;1.898;1.643;1.509;1.395;1.267;1.116;-1,43;-0,85;-0,78;-0,96;-1,26
3547304;Santana de Parnaíba;74.343;108.474;138.132;162.322;178.709;189.874;3,85;2,45;1,63;0,97;0,61
3547403;Santa Rita d'Oeste;2.701;2.544;2.404;2.243;2.044;1.846;-0,6;-0,56;-0,69;-0,92;-1,01
3547502;Santa Rita do Passa Quatro;26.118;26.475;26.385;26.035;25.241;24.037;0,14;-0,03;-0,13;-0,31;-0,49
3547601;Santa Rosa de Viterbo;21.413;23.841;25.604;26.649;26.648;25.901;1,08;0,72;0,4;0;-0,28
3547650;Santa Salete;1.379;1.446;1.440;1.401;1.321;1.219;0,48;-0,04;-0,27;-0,59;-0,8
3547700;Santo Anastácio;20.741;20.477;20.127;19.888;19.521;18.725;-0,13;-0,17;-0,12;-0,19;-0,42
3547809;Santo André;649.000;676.177;693.867;697.124;685.195;660.182;0,41;0,26;0,05;-0,17;-0,37
3547908;Santo Antônio da Alegria;5.757;6.299;6.637;6.802;6.716;6.478;0,9;0,52;0,25;-0,13;-0,36
3548005;Santo Antônio de Posse;18.074;20.628;22.849;24.453;25.137;24.982;1,33;1,03;0,68;0,28;-0,06
3548054;Santo Antônio do Aracanguá;6.930;7.620;8.252;8.606;8.640;8.365;0,95;0,8;0,42;0,04;-0,32
3548104;Santo Antônio do Jardim;6.150;5.945;5.826;5.787;5.656;5.389;-0,34;-0,2;-0,07;-0,23;-0,48
3548203;Santo Antônio do Pinhal;6.318;6.485;6.628;6.769;6.824;6.701;0,26;0,22;0,21;0,08;-0,18
3548302;Santo Expedito;2.523;2.801;2.972;3.092;3.133;3.084;1,05;0,59;0,4;0,13;-0,16
3548401;Santópolis do Aguapeí;3.816;4.273;4.668;4.931;5.028;4.995;1,14;0,89;0,55;0,19;-0,07
3548500;Santos;417.975;419.388;428.703;435.529;434.826;426.381;0,03;0,22;0,16;-0,02;-0,2
3548609;São Bento do Sapucaí;10.339;10.467;10.530;10.575;10.381;9.923;0,12;0,06;0,04;-0,18;-0,45
3548708;São Bernardo do Campo;701.756;764.922;812.086;836.446;837.875;816.489;0,87;0,6;0,3;0,02;-0,26
3548807;São Caetano do Sul;140.241;149.185;151.244;148.700;142.214;132.729;0,62;0,14;-0,17;-0,44;-0,69
3548906;São Carlos;192.639;221.692;242.632;253.937;254.826;247.139;1,41;0,91;0,46;0,03;-0,31
3549003;São Francisco;2.860;2.794;2.677;2.573;2.447;2.279;-0,23;-0,43;-0,4;-0,5;-0,71
